fecha	hora	demanda
2020-01-21	9	9095,76433514078
2020-01-16	24	9459,6318726595
2020-01-21	10	9611,915761657465
2020-01-17	1	9015,295689894598
2020-01-21	11	9887,338259826101
2020-01-21	12	10011,590544517925
2020-01-17	2	8590,255392111798
2020-01-17	3	8254,1151626178
2020-01-21	13	10184,972414948355
2020-01-21	14	10412,379176504865
2020-01-17	4	8096,330777956295
2020-01-21	15	10635,883021345502
2020-01-17	5	8108,282919021696
2020-01-17	6	8140,708015790801
2020-01-21	16	10645,391784715708
2020-01-21	17	10530,53952671908
2020-01-17	7	8328,994532715504
2020-01-21	18	10364,439322054817
2020-01-17	8	8509,799106996401
2020-01-21	19	10039,923053872382
2020-01-17	9	9125,701988598998
2020-01-21	20	9898,660565353623
2020-01-17	10	9662,8887433504
2020-01-21	21	9906,563837808946
2020-01-17	11	10031,301823976895
2020-01-21	22	10211,108737866209
2020-01-17	12	10170,733783121097
2020-01-21	23	10064,412677593195
2020-01-21	24	9514,319845176302
2020-01-17	13	10373,311570946602
2020-01-22	1	8955,874656620195
2020-01-17	14	10432,393899646999
2020-01-22	2	8552,717666290999
2020-01-17	15	10519,1739146902
2020-01-22	3	8258,8594870589
2020-01-17	16	10540,1268953294
2020-01-22	4	8108,627191963002
2020-01-17	17	10384,246642738897
2020-01-22	5	8043,7952510027
2020-01-22	6	8087,763256564801
2020-01-22	7	8271,13178900473
2020-01-17	18	10200,827055203403
2020-01-22	8	8438,090733511888
2020-01-22	9	8965,805555212046
2020-01-17	19	9897,782890510694
2020-01-22	10	9416,85489400517
2020-01-22	11	9698,10426968608
2020-01-17	20	9735,770925233901
2020-01-22	12	9794,38114035293
2020-01-17	21	9752,420828407001
2020-01-22	13	9987,527460041554
2020-01-17	22	10080,924605596894
2020-01-22	14	10053,755182264815
2020-01-17	23	9968,946363955998
2020-01-22	15	10214,708851863452
2020-01-22	16	10259,287041389964
2020-01-22	17	10227,305618970902
2020-01-22	18	10027,380065707217
2020-01-17	24	9631,034416870398
2020-01-22	19	9725,25673271147
2020-01-22	20	9566,98378702475
2020-01-18	1	9242,687630092598
2020-01-22	21	9543,59850914885
2020-01-18	2	8798,334403904204
2020-01-22	22	9841,295354004604
2020-01-24	16	10824,983513510202
2020-01-22	23	9788,452998383502
2020-01-22	24	9366,233962567598
2020-01-24	17	10710,735576902302
2020-01-23	1	8904,318818994401
2020-01-24	18	10498,03864204251
2020-01-23	2	8503,9800114392
2020-01-24	19	10182,03274051101
2020-01-23	3	8178,1165441438
2020-01-23	4	8081,422028463699
2020-01-24	20	9914,661695826997
2020-01-23	5	8051,905448774796
2020-01-24	21	9838,336736566092
2020-01-23	6	8155,080097776901
2020-01-24	22	10151,908214956997
2020-01-23	7	8392,005097326602
2020-01-24	23	9975,862032473402
2020-01-23	8	8558,403891080408
2020-01-24	24	9647,404944488102
2020-01-23	9	9106,921436735698
2020-01-25	1	9266,8633092609
2020-01-23	10	9613,3986754949
2020-01-23	11	9933,658909600403
2020-01-25	2	8909,8730162853
2020-01-25	3	8599,1709374803
2020-01-23	12	10131,306464088397
2020-01-25	4	8423,6456194307
2020-01-23	13	10223,600612542996
2020-01-25	5	8344,905197568001
2020-01-23	14	10344,507410797802
2020-01-23	15	10487,3204194133
2020-01-25	6	8344,699784454397
2020-01-23	16	10541,247052338504
2020-01-25	7	8358,998638387697
2020-01-23	17	10589,260992094709
2020-01-25	8	8284,709581044099
2020-01-23	18	10459,05737310799
2020-01-25	9	8633,512062432306
2020-01-25	10	9087,306945364198
2020-01-23	19	10144,566839461097
2020-01-25	11	9394,345398712403
2020-01-23	20	9924,176338991405
2020-01-25	12	9661,886740625394
2020-01-23	21	9990,3846745648
2020-01-25	13	9683,260073006097
2020-01-23	22	10272,153209028105
2020-01-23	23	10112,2791351579
2020-01-25	14	9719,487538115396
2020-01-23	24	9734,219377657808
